date,price
2022-03-17 01:00:00,0.00000000000000000000000000000000000000293895680758558494927616942086432
2022-03-18 01:00:00,224.5607446623122126437616151605045
2022-03-19 01:00:00,252.9100131782109415045516528806502
2022-03-20 01:00:00,297.8009159581366548729665145646309
2022-03-21 01:00:00,275.9874460742024361683661324420187
2022-03-22 01:00:00,241.8980577510556177912877731299311
2022-03-23 01:00:00,229.2140728554625049315145955508007
2022-03-24 01:00:00,241.5800163857065307439658583220009
2022-03-25 01:00:00,251.598020843394485346001520436531
2022-03-26 01:00:00,227.1900197700134135647589549073894
2022-03-27 01:00:00,231.0733551253511252382165943790627
2022-03-28 02:00:00,235.9447836054916106886561258342065
2022-03-29 02:00:00,249.6746843218993099868261954849858
2022-03-30 02:00:00,239.2809317616121831569250435750589
2022-03-31 02:00:00,259.3006602476445498725538696089064
2022-04-01 02:00:00,269.0854535058559234489675192764646
2022-04-02 02:00:00,279.1246589041117028364241280533632
2022-04-03 02:00:00,283.5872747117354907955341209071834
2022-04-04 02:00:00,293.0135452808177425298476888744994
2022-04-05 02:00:00,294.1127983526665897198581450857265
2022-04-06 02:00:00,296.2696934907362191986881294821449
2022-04-07 02:00:00,288.6689164819629962930480685824063
2022-04-08 02:00:00,296.9174855879394692443500016718109
2022-04-09 02:00:00,297.9941701200829965005796723347449
2022-04-10 02:00:00,264.058998926791876304423453278369
2022-04-11 02:00:00,273.1160609063592360498020707394746
2022-04-12 02:00:00,262.1826660247225920023836128069306
2022-04-13 02:00:00,235.0570865654631478837765996450295
2022-04-14 02:00:00,246.7450246119488120229071681016021
2022-04-15 02:00:00,249.5225312955610444146237182140022
2022-04-16 02:00:00,262.6006514485833112231705681899918
2022-04-17 02:00:00,255.5641980166747107303634237787305
2022-04-18 02:00:00,257.74030681913101544374898471306
2022-04-19 02:00:00,231.936180543188347019337013685227
2022-04-20 02:00:00,183.6912664780835861285919875022824
2022-04-21 02:00:00,208.7110546491647692628189909199485
2022-04-22 02:00:00,193.1607539700605288669819775935932
2022-04-23 02:00:00,175.9019250256213069675604104616305
2022-04-24 02:00:00,173.8900862136836916774222807242356
2022-04-25 02:00:00,155.8217200337801428222128628658944
2022-04-26 02:00:00,156.2372895925195102756889796341259
2022-04-27 02:00:00,148.9554383870661292179144541016735
2022-04-28 02:00:00,123.9503227194974473886398593909546
2022-04-29 02:00:00,146.7515721746044538448665769434026
2022-04-30 02:00:00,136.9914672364511075680994601696749
2022-05-01 02:00:00,178.0008608054367353765333652010498
2022-05-02 02:00:00,189.9952286425139616645184625311398
2022-05-03 02:00:00,197.3613794144656890761752202873583
